,종목명,진행상황,시장구분,종목코드,업종,대표자,기업구분,본점소재지,홈페이지,대표전화,최대주주,매출액,법인세비용차감전계속사업이익,순이익,자본금,총공모주식수,액면가,상장공모,희망공모가액,청약경쟁률,확정공모가,공모금액,주간사,주식수,청약한도,공모청약일,우리사주조합,우리사주조합 청약증거금율,기관투자자등,기관투자자 최고한도,일반투자자 청약증거금율,기관경쟁률,의무보유확약
15,큐라티스,공모주,코스닥,348080,자연과학 및 공학 연구개발업,조관구,중소일반,"서울특별시 서초구 강남대로 327, 9층",www.quratis.com,02-866-0604,-,"1,589 (백만원)","-20,375 (백만원)","-20,375 (백만원)","12,713 (백만원)","3,500,000 주",500 원,"신주모집 : 3,500,000 주 (100%)","6,500 ~ 8,000 원",,- 원,"22,750 (백만원)","대신증권,신영증권","875,000~1,050,000 주","30,000~36,000 주",2023.06.05 ~  2023.06.07,주,100%,"2,450,000~2,625,000 주 (70~75%)",- 주,50%,,0.00%
16,마녀공장,공모주,코스닥,439090,화장품 제조업,유근직,중소일반,서울특별시 강서구 공항대로 518,manyo.co.kr,02-6013-0855,엘앤피코스메틱 76%,"62,620 (백만원)","18,048 (백만원)","14,167 (백만원)","1,431 (백만원)","2,000,000 주",100 원,"신주모집 : 2,000,000 주 (100%)","12,000 ~ 14,000 원",,"16,000 원","32,000 (백만원)","한국투자증권,유진투자증권","500,000~600,000 주","5,000~6,000 주",2023.05.25 ~  2023.05.26,주,100%,"1,400,000~1,500,000 주 (70~75%)",- 주,50%,"1,800.47:1",38.57%
17,나라셀라,공모주,코스닥,405920,주류 도매업,마승철,중소일반,경기도 이천시 마장면 프리미엄아울렛로 33-48 (표교리),www.naracellar.com/,02-405-4326,나라로지스틱스 69%,"88,394 (백만원)","11,207 (백만원)","9,030 (백만원)","25,815 (백만원)","1,450,000 주","5,000 원","신주모집 : 1,232,500 주 (85%)
	/  구주매출 : 217,500 주 (15%)","20,000 ~ 24,000 원",4.84:1 (비례 10:1),"20,000 원","29,000 (백만원)",신영증권,"362,500~435,000 주","27,000~36,000 주",2023.05.22 ~  2023.05.23,"43,500 주  (3%)",100%,"917,500~1,087,500 주 (67~75%)",- 주,50%,178.47:1,1.19%
18,진영(구.진영엘디엠),공모주,코스닥,285800,1차 플라스틱제품 제조업,심영수,중소일반,인천광역시 서구 마중로 129 (오류동),www.jyp21.co.kr,032-562-1924,심영수 42%,"59,265 (백만원)","7,060 (백만원)","5,855 (백만원)","1,272 (백만원)","4,250,000 주",100 원,"신주모집 : 4,250,000 주 (100%)","3,600 ~ 4,200 원",1452.49:1 (비례 2905:1),"5,000 원","21,250 (백만원)",하이투자증권,"1,062,500~1,275,000 주","106,250~127,500 주",2023.05.22 ~  2023.05.23,주,100%,"2,975,000~3,187,500 주 (70~75%)",- 주,50%,"1,595.70:1",9.17%
19,기가비스,신규상장,코스닥,420770,기타 특수목적용 기계 제조업,강해철,중소일반,경기도 평택시 진위면 진위산단로 53-86,www.gigavis.com,,김종준 21%,"43,973 (백만원)","16,980 (백만원)","14,264 (백만원)","2,535 (백만원)","2,218,258 주",200 원,"신주모집 : 2,218,258 주 (100%)","34,400 ~ 39,700 원",823.74:1 (비례 1647:1),"43,000 원","95,385 (백만원)",삼성증권,"554,565~665,477 주","27,000~33,000 주",2023.05.15 ~  2023.05.16,"132,169 주  (5.96%)",100%,"1,420,612~1,531,524 주 (64.04~69.04%)",- 주,50%,"1,669.60:1",49.52%
20,모니터랩,신규상장,코스닥,434480,소프트웨어 개발 및 공급업,이광후,중소일반,"서울특별시 구로구 디지털로27가길 27 8층, 9층(아남빌딩)",,,이광후 38%,"12,014 (백만원)","2,288 (백만원)","2,134 (백만원)","1,239 (백만원)","2,000,000 주",100 원,"신주모집 : 2,000,000 주 (100%)","7,500 ~ 9,800 원","1,785.11:1 (비례 2:1)","9,800 원","19,600 (백만원)",미래에셋증권,"500,000~600,000 주","25,000~30,000 주",2023.05.10 ~  2023.05.11,"15,650 주  (0.78%)",100%,"1,384,350~1,484,350 주 (69.22~74.22%)",- 주,50%,"1,715.41:1",6.06%
21,씨유박스,신규상장,코스닥,340810,소프트웨어 개발 및 공급업,남운성,중소일반,"서울특별시 강남구 테헤란로 22길 12 (역삼동) 평방빌딩 지하 1층, 2~5층",www.cubox.aero,02-6277-7800,-,"12,273 (백만원)","-2,833 (백만원)","-1,686 (백만원)","5,048 (백만원)","1,500,000 주",500 원,"신주모집 : 1,500,000 주 (100%)","17,200 ~ 23,200 원",53.06:1 (비례 106:1),"15,000 원","22,500 (백만원)","신한투자증권,SK증권,,신영증권","375,000~450,000 주","10,000~12,000 주",2023.05.09 ~  2023.05.10,"75,000 주  (5%)",100%,"975,000~1,125,000 주 (65~75%)",- 주,50%,86.44:1,3.69%
22,키움스팩8호,신규상장,코스닥,446840,금융 지원 서비스업,송현길,중소일반,서울특별시 영등포구 여의나루로4길 18,,,에이씨피씨 57%,- (백만원),0 (백만원),- (백만원),588 (백만원),"5,000,000 주",100 원,"신주모집 : 5,000,000 주 (100%)","2,000 ~ 2,000 원",11.23:1 (비례 22:1),"2,000 원","10,000 (백만원)",키움증권,"1,250,000~1,500,000 주","80,000~100,000 주",2023.05.08 ~  2023.05.09,주,100%,"3,500,000~3,750,000 주 (70~75%)",- 주,100%,21.25:1,0.00%
23,트루엔,신규상장,코스닥,417790,영상 및 음향기기 제조업,안재천,중소일반,"서울특별시 구로구 디지털로33길 28, 1108, 1309호(구로동, 우림이비지센터1차)",www.truen.co.kr,,-,"35,980 (백만원)","10,067 (백만원)",852 (백만원),"1,099 (백만원)","2,500,000 주",100 원,"신주모집 : 2,500,000 주 (100%)","10,000 ~ 12,000 원",1481.83:1 (비례 2964:1),"12,000 원","30,000 (백만원)",미래에셋증권,"625,000~750,000 주","31,000~37,000 주",2023.05.08 ~  2023.05.09,주,100%,"1,750,000~1,875,000 주 (70~75%)",- 주,50%,"1,688.87:1",8.24%
24,에스바이오메딕스,신규상장,코스닥,304360,의약품 제조업,"강세일,김동욱",중소일반,서울특별시 성동구 성수이로26길 28 우일벤처빌딩 4층,www.sbiomedics.com,02-2205-0023,-,"8,868 (백만원)","-5,249 (백만원)","-5,242 (백만원)","5,496 (백만원)","750,000 주",500 원,"신주모집 : 750,000 주 (100%)","16,000 ~ 18,000 원",994.80:1 (비례 1990:1),"18,000 원","13,500 (백만원)",미래에셋증권,"187,500~225,000 주","9,000~11,000 주",2023.04.24 ~  2023.04.25,주,100%,"525,000~562,500 주 (70~75%)",- 주,50%,854.29:1,1.94%
25,토마토시스템,신규상장,코스닥,393210,소프트웨어 개발 및 공급업,이상돈,중소일반,"서울특별시 강남구 논현로128길 5(논현동, 장뻘빌딩 5,6,8층)",www.tomatosystem.co.kr,02-3445-2194,이상돈 28 %,"22,856 (백만원)",711 (백만원),"1,286 (백만원)","2,597 (백만원)","860,000 주",500 원,"신주모집 : 860,000 주 (100%)","18,200 ~ 22,200 원",266.16:1 (비례 532:1),"18,200 원","15,652 (백만원)",교보증권,"215,000~258,00 주","21,000~25,000 주",2023.04.18 ~  2023.04.19,주,100%,"602,000~645,000 주 (70~75%)",- 주,50%,363.22:1,3.85%
26,마이크로투나노,신규상장,코스닥,424980,,황규호,중소일반,경기도 용인시 처인구 이동읍 덕성산단2로50번길 43,micro2nano.com,031-659-7903,-,"31,707 (백만원)","4,976 (백만원)","4,208 (백만원)","2,959 (백만원)","1,000,000 주",500 원,"신주모집 : 1,000,000 주 (100%)","13,500 ~ 15,500 원",1636.63:1 (비례 3273:1),"15,500 원","15,500 (백만원)",한국투자증권,"250,000~300,000 주","8,000 주",2023.04.17 ~  2023.04.18,주,100%,"700,000~750,000 주 (70~75%)",- 주,50%,"1,716.98:1",10.83%
27,미래에셋비전스팩3호,신규상장,코스닥,448830,기타 금융업,권유현,중소일반,서울특별시 중구 을지로5길 26 미래에셋센터원빌딩 이스트타워,,,애니플러스 87%,- (백만원),0 (백만원),- (백만원),492 (백만원),"4,500,000 주",100 원,"신주모집 : 4,500,000 주 (100%)","2,000 ~ 2,000 원",35.13:1 (비례 70:1),"2,000 원","9,000 (백만원)",미래에셋증권,"1,125,000~1,350,000 주","55,000~65,000 주",2023.03.28 ~  2023.03.29,주,100%,"3,150,000~3,375,000 주 (70~75%)",- 주,100%,168.97:1,1.77%
28,삼성FN리츠,신규상장,거래소,448730,부동산 임대업,윤양수,중소일반,"서울특별시 서초구 서초대로74길 4 (서초동, 삼성생명서초타워)16층",www.samsungfnreit.com,,-,- (백만원),0 (백만원),- (백만원),"38,650 (백만원)","23,780,000 주",500 원,"신주모집 : 23,780,000 주 (100%)","5,000 ~ 5,000 원",1.87:1,"5,000 원","118,900 (백만원)",삼성증권 한국투자증권 NH투자증권 KB증권,"9,512,000 주",- 주,2023.03.27 ~  2023.03.28,주,100%,"14,268,000 주 (60%)",- 주,50%,24.88,8.03%
29,IBKS스팩22호,신규상장,코스닥,448760,금융 지원 서비스업,김정현,중소일반,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩,,,에이씨피씨 93%,- (백만원),0 (백만원),- (백만원),443 (백만원),"4,000,000 주",100 원,"신주모집 : 4,000,000 주 (100%)","2,000 ~ 2,000 원",51.76:1 (비례 104:1),"2,000 원","8,000 (백만원)",IBK투자증권,"1,000,000~1,200,000 주","50,000~60,000 주",2023.03.27 ~  2023.03.28,주,100%,"2,800,000~3,000,000 주 (70~75%)",- 주,100%,334.37:1,0.00%
30,하나스팩27호,신규상장,코스닥,448370,금융 지원 서비스업,김철우,중소일반,서울특별시 영등포구 의사당대로 82,,,케이앤투자파트너스 48%,- (백만원),0 (백만원),- (백만원),562 (백만원),"5,000,000 주",100 원,"신주모집 : 5,000,000 주 (100%)","2,000 ~ 2,000 원",2.45:1 (비례 5:1),"2,000 원","10,000 (백만원)",하나증권,"1,250,000~1,500,000 주","100,000~120,000 주",2023.03.27 ~  2023.03.28,주,100%,"3,500,000~3,750,000 주 (70~75%)",- 주,100%,37.12:1,0.00%
31,지아이이노베이션,신규상장,코스닥,358570,자연과학 및 공학 연구개발업,홍준호,중소일반,서울특별시 송파구 송파대로 167,www.gi-innovation.com/,02-404-2003,-,"5,600 (백만원)","-150,742 (백만원)","-150,742 (백만원)","11,002 (백만원)","2,000,000 주",500 원,"신주모집 : 2,000,000 주 (100%)","16,000 ~ 21,000 원",262.2:1 (비례 524:1),"13,000 원","26,000 (백만원)","NH투자증권,하나증권,삼성증권","500,000~600,000 주","10,000~12,000 주",2023.03.21 ~  2023.03.22,주,100%,"1,400,000~1,500,000 주 (70~75%)",- 주,50%,26.70:1,0.23%
32,엘비인베스트먼트,신규상장,코스닥,309960,기금 운영업,박기호,중소일반,서울특별시 강남구 테헤란로 512,www.lginvest.co.kr,02-3467-0500,엘비 100%,"49,373 (백만원)","31,137 (백만원)",24 (백만원),"23,217 (백만원)","4,618,047 주","1,000 원","신주모집 : 3,078,698 주 (66.67%)
	/  구주매출 : 1,539,349 주 (33.33%)","4,400 ~ 5,100 원",1165.75:1 (비례 2332:1),"5,100 원","23,552 (백만원)",미래에셋증권,"1,154,700~1,385,700 주","57,000~69,000 주",2023.03.20 ~  2023.03.21,주,100%,"3,232,347~3,463,347 주 (70~75%)",- 주,50%,"1,298.41:1",2.84%
33,한화위탁관리부동산투자회사,신규상장,코스피,451800,(한화리츠),한화자산운용,중소일반,서울특별시 영등포구 63로 50,www.hanwhareit.com,02-6950-0000,한화생명,- (백만원),0 (백만원),- (백만원),"35,300 (백만원)","23,200,000 주",500 원,"신주모집 : 23,200,000 주 (100%)","5,000 ~ 5,000 원",0.53:1 (비례 1:1),"5,000 원","116,000 (백만원)","한국투자증권,한화투자증권,SK증권","6,960,000 주",- 주,2023.03.13 ~  2023.03.14,주,100%,"16,240,000 주 (70%)",- 주,50%,7.2:1,55.78%
34,유안타스팩12호,신규상장,코스닥,446150,,오희열,중소일반,,,,베리타스파트너스 92%,- (백만원),0 (백만원),- (백만원),477 (백만원),"4,500,000 주",100 원,"신주모집 : 4,500,000 주 (100%)","2,000 ~ 2,000 원",1.53:1 (비례 3:1),"2,000 원","9,000 (백만원)",유안타증권,"1,125,000~1,350,000 주","55,000~65,000 주",2023.03.07 ~  2023.03.08,주,100%,"3,150,000~3,375,000 주 (70~75%)",- 주,100%,118.23:1,2.56%
35,미래에셋드림스팩1호,신규상장,코스닥,442900,기타 금융업,박장우,중소일반,"서울특별시 중구 을지로5길 26(수하동, 미래에셋 센터원빌딩 이스트타워)",,,-,- (백만원),0 (백만원),- (백만원),"3,840 (백만원)","7,000,000 주",500 원,"신주모집 : 7,000,000 주 (100%)","10,000 ~ 10,000 원",0.45:1 (비례 1:1),"10,000 원","70,000 (백만원)",미래에셋증권,"1,750,000~2,100,000 주","85,000~105,000 주",2023.03.06 ~  2023.03.07,주,100%,"4,900,000~5,250,000 주 (70~75%)",- 주,100%,63.11:1,1.58%
36,금양그린파워,신규상장,코스닥,282720,전기 및 통신 공사업,"이윤철, 이기보",중소일반,"울산광역시 남구 삼산로 257, 7층",www.kyecl.co.kr,052-260-1811,-,"152,026 (백만원)","4,968 (백만원)","3,866 (백만원)","6,059 (백만원)","3,007,320 주",500 원,"신주모집 : 3,007,320 주 (100%)","6,700 ~ 8,000 원",1312.1:1 (비례 2624:1),"10,000 원","30,073 (백만원)",삼성증권,"751,830~902,196 주","37,000~45,000 주",2023.03.02 ~  2023.03.03,주,100%,"2,105,124~2,255,490 주 (70~75%)",- 주,50%,"1,613.16:1",18.19%
37,NH스팩28호,신규상장,코스닥,450410,금융 지원 서비스업,안은지,중소일반,서울특별시 영등포구 여의대로 108,,,프로디지인베스트먼트 96.15%,- (백만원),0 (백만원),- (백만원),392 (백만원),"3,400,000 주",100 원,"신주모집 : 3,400,000 주 (100%)","2,000 ~ 2,000 원",374.56:1 (비례 749:1),"2,000 원","6,800 (백만원)",NH투자증권,"850,000~1,020,000 주","85,000~102,000 주",2023.02.27 ~  2023.02.28,주,100%,"2,380,000~2,550,000 주 (70~75%)",- 주,100%,687.65 :1,6.40%
38,자람테크놀로지,신규상장,코스닥,389020,반도체 제조업,백준현,중소일반,"경기도 성남시 분당구 성남대로925번길 41, 2층",,,-,"14,324 (백만원)","1,062 (백만원)","1,170 (백만원)","3,098 (백만원)","930,000 주",500 원,"신주모집 : 930,000 주 (100%)","16,000 ~ 20,000 원",1030.65:1 (비례 2061:1),"22,000 원","20,460 (백만원)",신영증권,"232,500~279,000 주","21,000~27,000 주",2023.02.22 ~  2023.02.23,"70,000 주  (7.5%)",100%,"581,000~697,500 주 (62.5~75%)",- 주,50%,"1,702.43:1",11.42%
39,하나스팩26호,신규상장,코스닥,446750,금융 지원 서비스업,박진오,중소일반,서울특별시 영등포구 의사당대로 82,,,윈베스트벤처투자 94%,- (백만원),0 (백만원),- (백만원),603 (백만원),"5,500,000 주",100 원,"신주모집 : 5,500,000 주 (100%)","2,000 ~ 2,000 원",75.97:1 (비례 152:1),"2,000 원","11,000 (백만원)",하나증권,"1,375,000~1,650,000 주","100,000~125,000 주",2023.02.22 ~  2023.02.23,주,100%,"3,850,000~4,125,000 주 (70~75%)",- 주,100%,656.25:1,0.00%
40,나노팀,신규상장,코스닥,417010,일반 목적용 기계 제조업,최윤성,중소일반,대전광역시 유성구 테크노2로 94-14,www.nanotim.co.kr,042-719-3088,-,"27,044 (백만원)","4,859 (백만원)","4,521 (백만원)","9,577 (백만원)","2,050,000 주",500 원,"신주모집 : 2,050,000 주 (100%)","11,500 ~ 13,000 원",1637.43:1 (비례 3275:1),"13,000 원","26,650 (백만원)",한국투자증권,"512,500~615,000 주","17,000~20,000 주",2023.02.20 ~  2023.02.21,주,100%,"1,435,000~1,537,500 주 (70~75.%)",- 주,50%,"1,723.21:1",25.64%
41,삼성스팩8호,신규상장,코스닥,448740,금융 지원 서비스업,안신영,중소일반,서울특별시 서초구 서초대로74길 11,,,아이피파트너스 15%,- (백만원),0 (백만원),- (백만원),"2,332 (백만원)","4,000,000 주",500 원,"신주모집 : 4,000,000 주 (100%)","10,000 ~ 10,000 원",170.79:1 (비례 342:1),"10,000 원","40,000 (백만원)",삼성증권,"1,000,000~1,200,000 주","50,000~60,000 주",2023.02.20 ~  2023.02.21,주,100%,"2,800,000~3,000,000 주 (70~75%)",- 주,100%,992.31:1,4.33%
42,바이오인프라,신규상장,코스닥,199730,자연과학 및 공학 연구개발업,이상득,중소일반,경기도 수원시 영통구 광교로 147 경기바이오센터,,,-,"30,555 (백만원)","7,099 (백만원)","6,234 (백만원)","2,398 (백만원)","650,000 주",500 원,"신주모집 : 650,000 주 (100%)","18,000 ~ 21,000 원",1034.74:1 (비례 2069:1),"21,000 원","13,650 (백만원)",DB금융투자,"162,500 주","16,250 주",2023.02.20 ~  2023.02.21,주,100%,"487,500 주 (75%)",- 주,50%,"1,594.95:1",0.00%
43,유안타스팩13호,신규상장,코스닥,449020,금융 지원 서비스업,이현범,중소일반,서울특별시 중구 을지로 76,,,우신벤처투자 97.56 %,- (백만원),0 (백만원),- (백만원),973 (백만원),"8,500,000 주",100 원,"신주모집 : 8,500,000 주 (100%)","2,000 ~ 2,000 원",16.36:1 (비례 33:1),"2,000 원","17,000 (백만원)",유안타증권,"2,125,000~2,550,000 주","105,000~125,000 주",2023.02.16 ~  2023.02.17,주,100%,"5,950,000~6,375,000 주 (70~75%)",- 주,100%,249.34:1,14.03%
44,미래에셋비전스팩2호,신규상장,코스닥,446190,기타 금융업,이효상,중소일반,,,,에스브이인베스트먼트 83%,- (백만원),0 (백만원),- (백만원),- (백만원),"4,650,000 주",100 원,"신주모집 : 4,650,000 주 (100%)","2,000 ~ 2,000 원",253.85:1 (비례 508:1),"2,000 원","9,300 (백만원)",미래에셋증권,"1,162,500~1,395,000 주","55,000~65,000 주",2023.02.14 ~  2023.02.15,주,100%,"3,255,000~3,487,500 주 (70~75%)",- 주,100%,525.89:1,2.47%
45,이노진,신규상장,코스닥,344860,기타 화학제품 제조업,이광훈,중소일반,서울특별시 구로구 디지털로33길 28 301호,www.innogene.com,02-2108-2294,-,"9,385 (백만원)","2,436 (백만원)","2,258 (백만원)","1,203 (백만원)","2,600,000 주",100 원,"신주모집 : 2,600,000 주 (100%)","2,500 ~ 3,000 원","1,643.88:1 (비례 2:1)","3,000 원","7,800 (백만원)",IBK투자증권,"650,000~780,000 주","30,000~36,000 주",2023.02.09 ~  2023.02.10,주,100%,"1,820,000~1,950,000 주 (70~75%)",- 주,50%,1603.33:1,6.36%
46,제이오,신규상장,코스닥,418550,"건축기술, 엔지니어링 및 관련 기술 서비스업",강득주,중소일반,인천광역시 연수구 갯벌로 129 산업기술연구집적센터 501호,www.jeio.co.kr,032-818-8110,-,"78,703 (백만원)","-15,143 (백만원)","-14,605 (백만원)","3,133 (백만원)","4,000,000 주",100 원,"신주모집 : 4,000,000 주 (100%)","10,000 ~ 13,000 원",142.47:1 (비례 285:1),"13,000 원","52,000 (백만원)",한국투자증권,"1,000,000~1,200,000 주","30,000~40,000 주",2023.02.07 ~  2023.02.08,"600,000 주  (15%)",100%,"2,200,000~2,400,000 주 (55~60%)",- 주,50%,352.61:1,4.33%
