기업명,신규상장일,공모가(원),시초가(원),시초/공모(%),첫날종가(원)
칩스앤미디어,2015/08/05,"10,500","13,700",30.48%,"16,400"
아시아경제신문사,2015/07/31,"3,600","3,240",-10%,"4,210"
아이쓰리시스템,2015/07/30,"36,000","63,000",75%,"58,000"
로지시스,2015/07/29,"2,500","4,180",67.2%,"5,430"
엘아이지이에스스팩,2015/07/27,"2,000","2,770",38.5%,"2,220"
파마리서치프로덕트,2015/07/24,"55,000","110,000",100%,"114,500"
에스케이스팩2호,2015/07/23,"2,000","2,140",7%,"2,150"
펩트론,2015/07/22,"16,000","32,000",100%,"41,600"
한화에이스스팩2호,2015/07/20,"2,000","2,125",6.25%,"2,160"
이노션(유가),2015/07/17,"68,000","66,500",-2.21%,"60,500"
유안타스팩2호,2015/07/17,"2,000","2,125",6.25%,"2,140"
키움스팩3호,2015/07/10,"2,000","2,110",5.5%,"2,115"
토니모리(유가),2015/07/10,"32,000","64,000",100%,"50,500"
미래에셋생명보험(유가),2015/07/08,"7,500","7,400",-1.33%,"7,240"
골든브릿지스팩3호,2015/06/30,"2,000","2,035",1.75%,"2,050"
동운아나텍,2015/06/30,"10,000","12,500",25%,"12,800"
유테크,2015/06/30,"9,000","12,550",39.44%,"10,850"
엔에이치스팩8호,2015/06/30,"2,000","2,080",4%,"2,110"
민앤지,2015/06/30,"28,000","56,000",100%,"44,850"
경보제약(유가),2015/06/29,"15,000","30,000",100%,"34,250"
에스엔텍,2015/06/26,"6,500","10,000",53.85%,"13,000"
코아스템,2015/06/26,"16,000","32,000",100%,"41,600"
이베스트스팩2호,2015/06/26,"2,000","2,020",1%,"2,055"
세미콘라이트,2015/06/25,"11,300","11,500",1.77%,"14,950"
에스케이디앤디(유가),2015/06/23,"26,000","52,000",100%,"67,600"
베셀,2015/06/19,"9,000","13,400",48.89%,"10,400"
대신밸런스스팩1호,2015/06/18,"2,000","2,025",1.25%,"2,015"
하나머스트스팩5호,2015/06/18,"2,000","2,025",1.25%,"2,030"
싸이맥스,2015/06/17,"16,300","15,200",-6.75%,"14,000"
하이스팩3호,2015/06/16,"2,000","2,020",1%,"2,020"
픽셀플러스,2015/06/12,"30,000","27,000",-10%,"29,000"
엔에이치스팩7호,2015/06/12,"2,000","2,130",6.5%,"2,125"
한화에이씨피씨스팩,2015/06/10,"2,000","2,155",7.75%,"2,120"
제노포커스,2015/05/29,"11,000","22,000",100%,"25,300"
미래에셋스팩3호,2015/05/22,"2,000","2,255",12.75%,"2,230"
대우스팩3호,2015/05/19,"2,000","2,600",30%,"2,400"
한화엠지아이스팩,2015/05/18,"2,000","2,900",45%,"2,465"
대우에스비아이스팩1호,2015/05/13,"2,000","2,365",18.25%,-
엔에이치스팩5호,2015/05/08,"2,000","2,250",12.5%,"2,230"
유진에이씨피씨스팩2호,2015/04/28,"2,000","2,315",15.75%,-
하나머스트스팩4호,2015/04/22,"2,000","3,010",50.5%,"2,560"
한화에이스스팩1호,2015/04/20,"2,000","2,245",12.25%,-
유지인트,2015/04/13,"15,000","29,150",94.33%,"24,800"
케이티비스팩2호,2015/04/03,"2,000","2,150",7.5%,"2,170"
NS쇼핑(구.농수산홈쇼핑)(유가),2015/03/27,"235,000","211,500",-10%,"215,500"
케이비스팩7호,2015/03/25,"2,000","2,260",13%,"2,310"
세화아이엠씨(유가),2015/03/19,"16,300","18,100",11.04%,"16,500"
포시에스,2015/02/11,"9,100","15,500",70.33%,"16,000"
골든브릿지스팩2호,2015/02/05,"2,000","2,220",11%,"2,165"
현대드림스팩2호,2014/12/29,"2,000","1,995",-0.25%,"1,995"
케이비스팩6호,2014/12/29,"2,000","2,030",1.5%,"2,105"
국일신동,2014/12/29,"1,700","3,225",89.71%,"2,745"
영백씨엠,2014/12/29,"5,500","11,000",100%,"9,510"
NH스팩2호,2014/12/29,"2,000","2,015",0.75%,"2,000"
하이셈,2014/12/26,"1,500","2,610",74%,"2,220"
휴메딕스,2014/12/26,"28,000","43,600",55.71%,"39,200"
서전기전,2014/12/24,"6,500","8,000",23.08%,"9,200"
교보스팩3호,2014/12/24,"2,000","2,005",0.25%,"2,010"
오킨스전자,2014/12/24,"7,100","11,000",54.93%,"12,650"
하나머스트스팩3호,2014/12/24,"2,000","2,015",0.75%,"2,010"
아스트,2014/12/24,"9,500","8,550",-10%,"9,000"
케이비스팩5호,2014/12/24,"2,000","2,000",0%,"2,000"
넥스트엔터테인먼트월드,2014/12/23,"16,300","15,800",-3.07%,"18,150"
아이티센,2014/12/23,"7,500","8,460",12.8%,"8,770"
제일모직(구.삼성에버랜드)(유가),2014/12/18,"53,000","106,000",100%,"113,000"
하이로닉,2014/12/17,"51,000","63,800",25.1%,"73,300"
하나머스트스팩2호,2014/12/17,"2,000","2,000",0%,"2,000"
우리에스엘스팩,2014/12/17,"2,000","2,000",0%,"2,010"
디티앤씨(구.디지털이엠씨),2014/12/17,"18,500","30,000",62.16%,"26,050"
엘아이지스팩2호,2014/12/17,"2,000","2,015",0.75%,"2,015"
녹십자엠에스,2014/12/17,"6,000","9,000",50%,"10,350"
랩지노믹스,2014/12/16,"13,200","16,650",26.14%,"14,250"
에이디테크놀로지,2014/12/16,"15,000","13,500",-10%,"14,000"
비씨월드제약,2014/12/15,"15,700","18,100",15.29%,"17,550"
동부스팩2호,2014/12/12,"2,000","2,010",0.5%,2
알테오젠,2014/12/12,"26,000","25,150",-3.27%,"21,500"
한국스팩2호,2014/12/10,"2,000","2,015",0.75%,"2,005"
에스케이씨코오롱피아이,2014/12/08,"8,000","7,800",-2.5%,"7,580"
대창스틸,2014/12/05,"2,500","3,605",44.2%,"4,145"
에프엔씨엔터테인먼트,2014/12/04,"28,000","25,200",-10%,"27,600"
하이스팩2호,2014/12/01,"2,000","2,010",0.5%,"2,015"
씨에스윈드(유가),2014/11/27,"43,500","39,150",-10%,"33,300"
케이티비스팩1호,2014/11/24,"2,000","2,030",1.5%,"2,025"
텔콘,2014/11/24,"14,500","13,800",-4.83%,"11,750"
파티게임즈,2014/11/21,"13,000","26,000",100%,"29,900"
IBKS스팩2호,2014/11/20,"2,000","2,030",1.5%,"2,015"
유안타스팩1호,2014/11/19,"2,000","2,045",2.25%,"2,055"
디에이테크놀로지,2014/11/19,"6,600","7,800",18.18%,"6,630"
삼성SDS(유가),2014/11/14,"190,000","380,000",100%,"327,500"
케이비스팩4호,2014/11/12,"2,000","2,080",4%,"2,025"
현대에이블스팩1호,2014/11/10,"2,000","3,500",75%,"2,975"
교보위드스팩,2014/11/07,"2,000","2,250",12.5%,"2,585"
테고사이언스,2014/11/06,"13,500","27,000",100%,"31,050"
슈피겐코리아,2014/11/05,"27,500","37,100",34.91%,"42,650"
테라셈,2014/10/30,"3,000","3,200",6.67%,"2,745"
영우디에스피,2014/10/29,"5,000","5,500",10%,"6,320"
대우스팩2호,2014/10/22,"2,000","2,005",0.25%,-
신한스팩2호,2014/10/13,"2,000","1,990",-0.5%,"1,995"
메디아나,2014/10/07,"6,200","6,370",2.74%,"5,850"
데브시스터즈,2014/10/06,"53,000","71,000",33.96%,"61,000"
KB스팩3호,2014/09/30,"2,000","2,045",2.25%,-
감마누,2014/08/14,"11,000","22,000",100%,"18,700"
우리스팩3호,2014/08/13,"2,000","2,150",7.5%,"2,085"
신화콘텍,2014/08/08,"9,100","8,190",-10%,"7,100"
쿠쿠전자(유가),2014/08/06,"104,000","180,000",73.08%,"207,000"
파버나인,2014/08/04,"12,500","12,300",-1.6%,"12,000"
덕신하우징,2014/08/01,"13,000","21,650",66.54%,"20,950"
창해에탄올,2014/07/30,"8,300","16,600",100%,"14,600"
윈하이텍,2014/07/25,"8,300","13,300",60.24%,"15,250"
아진엑스텍,2014/07/24,"7,000","7,900",12.86%,"7,060"
미래에셋스팩2호,2014/07/23,"2,000","2,110",5.5%,"2,160"
화인베스틸(유가),2014/07/22,"4,700","4,490",-4.47%,"5,160"
트루윈,2014/07/11,"10,500","17,000",61.9%,"14,450"
하나머스트스팩,2014/06/10,"2,000","2,330",16.5%,"2,675"
캐스텍코리아,2014/05/27,"6,500","11,500",76.92%,"9,800"
BGF리테일(구.보광훼미리마트)(유가),2014/05/19,"41,000","57,000",39.02%,"55,200"
유진스팩1호,2014/05/08,"2,000","2,090",4.5%,"2,065"
KB스팩2호,2014/04/28,"2,000","2,075",3.75%,"2,145"
오이솔루션,2014/02/27,"10,000","20,000",100%,"23,000"
인터파크INT,2014/02/06,"7,700","15,400",100%,"17,700"
한국정보인증,2014/02/04,"1,800","2,900",61.11%,"3,335"
솔루에타,2013/12/27,"24,000","21,600",-10%,"22,750"
이지웰페어,2013/12/27,"4,400","7,000",59.09%,"8,050"
키움제2호스팩,2013/12/20,"2,000","2,020",1%,"1,980"
기가레인(구.맥시스),2013/12/19,"5,500","4,950",-10%,"4,280"
인트로메딕,2013/12/19,"6,000","6,700",11.67%,"5,700"
알티캐스트,2013/12/06,"8,500","8,500",0%,"7,940"
현대공업,2013/12/04,"7,500","8,850",18%,"7,610"
엔브이에이치코리아,2013/12/03,"4,500","4,440",-1.33%,"4,300"
디엠티,2013/11/26,"5,700","5,210",-8.6%,"5,990"
우리기업인수목적2호,2013/11/21,"2,000","2,005",0.25%,"1,970"
신송홀딩스,2013/11/21,"6,500","10,900",67.69%,"10,100"
라이온켐텍,2013/11/19,"12,500","14,200",13.6%,"16,050"
램테크놀러지,2013/11/18,"3,900","6,250",60.26%,"5,320"
미동전자통신,2013/11/13,"20,000","19,400",-3%,"16,500"
에이씨티,2013/11/08,"8,100","12,000",48.15%,"10,200"
해성옵틱스,2013/11/06,"6,600","7,800",18.18%,"6,850"
내츄럴엔도텍,2013/10/31,"40,000","80,000",100%,"84,700"
현대로템(유가),2013/10/30,"23,000","33,700",46.52%,"38,750"
테스나,2013/10/22,"13,500","15,300",13.33%,"13,050"
파수닷컴,2013/10/18,"5,800","6,000",3.45%,"6,900"
엘티씨,2013/10/08,"20,500","25,000",21.95%,"21,250"
지엔씨에너지,2013/10/02,"6,000","12,000",100%,"13,800"
아미코젠,2013/09/12,"25,000","50,000",100%,"57,500"
금호N.T,2013/08/02,"3,100","6,200",100%,"7,130"
파이오링크,2013/08/01,"10,500","18,500",76.19%,"15,750"
KG이티에스,2013/07/24,"3,800","4,000",5.26%,"4,600"
나스미디어,2013/07/17,"8,800","15,050",71.02%,"15,350"
엑세스바이오,2013/05/30,"4,500","9,000",100%,"10,350"
디에스알(유가),2013/05/15,"4,000","5,000",25%,"5,750"
레고켐바이오사이언스,2013/05/10,"15,500","19,900",28.39%,"17,500"
삼목강업,2013/04/30,"2,600","3,440",32.31%,"3,955"
세호로보트,2013/04/03,"7,800","14,000",79.49%,"13,050"
윈팩,2013/03/07,"4,000","4,050",1.25%,"4,340"
코렌텍,2013/03/05,"16,000","15,950",-0.31%,"15,550"
제로투세븐,2013/02/19,"8,300","13,050",57.23%,"12,000"
지디,2013/02/13,"18,000","25,150",39.72%,"26,200"
아이원스,2013/02/07,"4,500","5,500",22.22%,"5,200"
우리이앤엘,2013/02/05,"4,900","4,410",-10%,"4,790"
아이센스,2013/01/30,"19,000","29,200",53.68%,"25,950"
포티스,2013/01/29,"3,900","5,700",46.15%,"6,550"
씨에스엘쏠라,2012/12/27,"10,000","12,500",25%,"11,700"
SBIAXES(구.AXES홀딩스),2012/12/17,"3,600","3,240",-10%,"3,725"
우리로광통신,2012/11/27,"10,300","9,270",-10%,"8,360"
디젠스,2012/11/22,"1,800","2,800",55.56%,"2,380"
GMB코리아(유가),2012/11/20,"6,000","5,990",-0.17%,"5,810"
맥스로텍,2012/11/16,"7,000","10,650",52.14%,"9,100"
와이엠씨,2012/11/15,"6,000","7,090",18.17%,"6,030"
CJ헬로비전(유가),2012/11/09,"16,000","15,100",-5.63%,"15,500"
아바텍,2012/11/06,"6,300","10,500",66.67%,"12,050"
코이즈,2012/09/27,"7,500","9,000",20%,"9,050"
모다정보통신,2012/09/25,"7,000","8,900",27.14%,"7,570"
나노스,2012/08/02,"7,000","9,280",32.57%,"10,650"
에이제이렌터카(구.아주오토렌탈)(유가),2012/07/27,"7,000","6,460",-7.71%,"6,160"
우양에이치씨,2012/07/26,"5,500","4,950",-10%,"5,170"
엠씨넥스,2012/07/25,"15,000","13,500",-10%,"11,500"
네이블커뮤니케이션즈,2012/07/19,"9,000","9,920",10.22%,"8,730"
디지탈옵틱,2012/07/13,"11,500","10,900",-5.22%,"12,500"
피엔티,2012/07/06,"17,000","22,300",31.18%,"19,400"
사조씨푸드(유가),2012/06/29,"10,600","10,000",-5.66%,"8,910"
비아트론,2012/05/04,"15,900","25,500",60.38%,"21,700"
에스비아이모기지,2012/04/30,"7,000","6,300",-10%,"5,360"
코오롱패션머티리얼(유가),2012/04/05,"14,500","20,000",37.93%,"23,000"
빛샘전자,2012/03/21,"4,400","8,800",100%,"10,100"
휴비스(유가),2012/02/23,"12,200","12,250",0.41%,"11,550"
사람인에이치알,2012/02/21,"5,000","10,000",100%,"11,500"
뉴로스,2012/02/15,"8,500","13,600",60%,"12,500"
남화토건,2012/01/31,"3,000","4,000",33.33%,"4,290"
케이탑리츠,2012/01/31,"5,500","5,550",0.91%,"5,130"
동아팜텍,2012/01/20,"24,000","35,000",45.83%,"29,750"
원익머트리얼즈,2011/12/28,"27,000","40,000",48.15%,"38,500"
디엔에이링크,2011/12/26,"7,700","15,400",100%,"17,700"
GS리테일(지에스리테일)(유가),2011/12/23,"19,500","19,500",0%,"22,400"
나이스디앤비,2011/12/22,"1,700","2,450",44.12%,"2,815"
시큐브,2011/12/21,"4,900","4,410",-10%,"5,070"
서암기계공업,2011/12/19,"3,800","4,000",5.26%,"3,400"
인터지스(유가),2011/12/16,"10,000","9,000",-10%,-
씨유메디칼시스템,2011/12/15,"12,000","16,000",33.33%,"18,400"
사파이어테크놀로지,2011/12/05,"65,000","58,500",-10%,"49,800"
넥스트리밍,2011/12/02,"6,000","5,400",-10%,"6,210"
티브이로직,2011/12/01,"12,000","10,850",-9.58%,"1,530"
에스에프씨,2011/11/30,"14,000","12,600",-10%,"10,750"
신진에스엠,2011/11/28,"15,000","15,000",0%,"13,300"
이엠넷,2011/11/25,"6,400","11,400",78.13%,"9,700"
와이지엔터테인먼트,2011/11/23,"34,000","68,000",100%,"78,200"
쎄미시스코,2011/11/18,"9,500","11,100",16.84%,"9,900"
아이테스트,2011/11/11,"2,400","2,690",12.08%,-
테크윙,2011/11/10,"23,000","30,000",30.43%,"25,500"
신흥기계,2011/11/08,"8,500","16,000",88.24%,"17,100"
씨큐브,2011/11/08,"5,750","7,000",21.74%,"6,140"
씨엔플러스,2011/11/02,"11,500","15,200",32.17%,"14,100"
테라세미콘,2011/11/01,"13,500","23,800",76.3%,"24,000"
케이맥,2011/10/25,"14,500","24,750",70.69%,"28,450"
로보스타,2011/10/17,"5,800","7,800",34.48%,"8,970"
넥솔론(유가),2011/10/14,"4,000","6,000",50%,"5,200"
대한과학,2011/10/11,"3,000","5,010",67%,"5,760"
피앤이솔루션,2011/09/27,"8,000","8,110",1.38%,"7,070"
화진,2011/08/10,"4,300","6,330",47.21%,"5,390"
제이씨케미칼,2011/08/08,"7,200","10,300",43.06%,"8,800"
아이씨디,2011/08/05,"34,000","62,800",84.71%,"72,200"
제닉,2011/08/03,"22,000","35,600",61.82%,"40,900"
경봉,2011/07/29,"7,100","10,900",53.52%,"9,300"
삼원강재(유가),2011/07/22,"4,000","8,000",100%,"9,200"
상아프론테크,2011/07/21,"6,000","7,680",28%,"6,700"
신세계인터내셔날(유가),2011/07/14,"65,000","103,000",58.46%,"118,000"
나이벡,2011/07/13,"10,000","15,000",50%,"12,750"
옵티시스,2011/07/12,"7,600","11,000",44.74%,"12,100"
대양전기공업,2011/07/08,"9,000","11,200",24.44%,"9,550"
한국항공우주산업(유가),2011/06/30,"15,500","19,300",24.52%,"22,150"
하이마트(유가),2011/06/29,"59,000","53,100",-10%,"57,000"
탑금속,2011/06/24,"6,500","8,120",24.92%,"8,750"
엠케이트렌드(유가),2011/06/21,"11,000","15,500",40.91%,"13,200"
쓰리피시스템,2011/06/17,"5,800","5,800",0%,"4,930"
코오롱플라스틱(유가),2011/06/15,"4,300","6,900",60.47%,"7,150"
리켐,2011/06/14,"14,000","18,200",30%,"20,900"
넥스트아이,2011/06/14,"10,000","9,000",-10%,"7,740"
완리인터내셔널홀딩스,2011/06/13,"4,100","3,850",-6.1%,"3,275"
KT스카이라이프(유가),2011/06/03,"17,000","17,500",2.94%,"20,100"
엘티에스,2011/06/02,"34,000","30,600",-10%,"30,200"
세아특수강(유가),2011/06/01,"28,000","32,500",16.07%,"37,350"
케이엠에이치,2011/05/25,"9,500","8,550",-10%,"7,270"
골프존,2011/05/20,"85,000","94,400",11.06%,"85,500"
한국종합기술(유가),2011/04/28,"7,100","9,300",30.99%,"7,910"
이퓨쳐,2011/04/27,"6,400","12,800",100%,"10,900"
티케이케미칼,2011/04/26,"5,000","4,850",-3%,"5,570"
일진머티리얼즈(유가),2011/03/04,"15,800","15,300",-3.16%,"14,100"
부스타,2011/02/23,"4,200","3,780",-10%,"4,345"
현대위아(유가),2011/02/21,"65,000","76,500",17.69%,"70,200"
나노신소재,2011/02/09,"17,000","17,550",3.24%,"14,950"
케이아이엔엑스,2011/02/08,"8,000","8,000",0%,"6,950"
티피씨,2011/02/08,"5,200","7,000",34.62%,"5,950"
엘비세미콘,2011/01/31,"4,700","4,650",-1.06%,"4,550"
제이엔케이히터,2011/01/31,"13,600","12,250",-9.93%,"14,050"
딜리,2011/01/31,"8,000","7,600",-5%,"8,740"
블루콤,2011/01/26,"12,000","18,850",57.08%,"16,050"
인트론바이오테크놀로지,2011/01/26,"6,100","12,200",100%,"10,400"
중국고섬공고(유가),2011/01/25,"7,000","6,300",-10%,"5,900"
씨그널정보통신,2011/01/24,"8,500","17,000",100%,"14,450"
다나와,2011/01/24,"14,000","25,800",84.29%,"21,950"
인텍플러스,2011/01/05,"7,000","14,000",100%,"16,100"
티에스이,2011/01/05,"45,000","66,600",48%,"76,500"
KB게임(KB스팩),2011/01/05,"2,500","2,700",8%,"3,105"
두산엔진(유가),2011/01/04,"19,300","22,350",15.8%,"25,700"
액트,2010/12/27,"2,700","2,430",-10%,"2,790"
대구도시가스(유가),2010/12/24,"5,400","5,560",2.96%,"6,390"
현대HCN(유가),2010/12/23,"3,800","3,420",-10%,"3,600"
IBKS스마트스팩,2010/12/22,"1,000",990,-1%,998
대정화금,2010/12/20,"9,200","13,100",42.39%,"13,800"
케이티스(구.한국인포서비스)(유가),2010/12/17,"2,700","2,920",8.15%,"2,635"
한전산업개발(유가),2010/12/16,"5,500","5,490",-0.18%,"5,060"
동부티에스블랙펄스팩,2010/12/08,"2,000","1,970",-1.5%,"1,970"
하이제1호스팩,2010/12/03,"4,000","4,060",1.5%,"4,010"
세우테크,2010/12/01,"5,500","6,500",18.18%,"7,470"
코라오홀딩스(유가),2010/11/30,"4,800","7,300",52.08%,"6,210"
대구방송,2010/11/29,"7,500","7,100",-5.33%,"8,160"
케이티롤,2010/11/26,"6,800","8,210",20.74%,"9,440"
시그네틱스,2010/11/26,"2,600","2,700",3.85%,"2,460"
한국전자인증,2010/11/19,"1,600","1,800",12.5%,"2,070"
코프라,2010/11/12,"7,000","14,000",100%,"11,950"
디케이락,2010/11/12,"7,500","7,480",-0.27%,"6,460"
하나그린스팩1호,2010/11/10,"4,000","4,210",5.25%,"4,220"
아나패스,2010/11/05,"52,000","54,400",4.62%,"62,500"
삼본정밀전자,2010/11/05,"8,800","9,300",5.68%,"8,600"
케이엔엔,2010/11/03,"9,000","8,800",-2.22%,"8,270"
부국퓨쳐스타즈스팩,2010/10/29,"2,000","2,300",15%,"2,305"
아이텍반도체,2010/10/26,"9,100","9,150",0.55%,"8,000"
누리플랜,2010/10/26,"5,500","8,400",52.73%,"7,800"
인화정공,2010/10/22,"26,000","30,200",16.15%,"25,700"
코렌,2010/10/22,"5,800","6,300",8.62%,"5,860"
아이씨코리아,2010/10/19,"2,800","4,500",60.71%,"4,740"
키움제1호스팩,2010/10/05,"2,000","2,100",5%,"1,985"
휠라코리아(유가),2010/09/28,"35,000","70,000",100%,"68,700"
포메탈,2010/09/17,"6,000","5,710",-4.83%,"6,560"
알파칩스,2010/09/17,"12,000","15,500",29.17%,"16,550"
케이티씨에스(구.한국인포데이타(유가),2010/09/16,"2,600","3,055",17.5%,"2,600"
성융광전투자,2010/09/15,"2,800","2,920",4.29%,"2,810"
다원시스,2010/09/14,"11,000","11,300",2.73%,"12,950"
현대홈쇼핑(유가),2010/09/13,"90,000","124,500",38.33%,"130,500"
이트레이드1호스팩,2010/09/10,"2,000","2,005",0.25%,"1,995"
씨젠,2010/09/10,"30,500","27,450",-10%,"31,550"
와이솔,2010/09/10,"8,000","7,200",-10%,"8,280"
에이치엠씨아이비1호스팩,2010/08/31,"2,000","2,120",6%,"2,145"
교보케이티비스팩,2010/08/27,"4,000","3,950",-1.25%,"3,950"
에스비아이앤솔로몬드림스팩,2010/08/24,"1,250","1,235",-1.2%,"1,220"
대신증권그로쓰알파,2010/08/24,"2,000","1,990",-0.5%,"1,975"
한국투자신성장1호스팩,2010/08/24,"2,200","2,210",0.45%,"2,200"
도화종합기술공사(유가),2010/08/12,"22,000","19,800",-10%,"16,900"
엠에스오토텍,2010/08/06,"5,500","11,000",100%,"9,350"
이글루시큐리티,2010/08/04,"14,000","12,600",-10%,"10,750"
아이마켓코리아(유가),2010/07/30,"15,300","22,100",44.44%,"25,400"
인터로조,2010/07/28,"12,000","10,800",-10%,"9,200"
하이텍팜,2010/07/28,"11,500","16,200",40.87%,"13,800"
우진(유가),2010/07/26,"15,000","30,000",100%,"34,500"
웨이포트(홍콩),2010/07/23,"1,400","1,395",-0.36%,"1,190"
크루셜텍,2010/07/21,"23,500","31,900",35.74%,"27,150"
에스디시스템,2010/07/16,"14,800","17,500",18.24%,"20,100"
한화스팩1호,2010/07/09,"5,000","4,960",-0.8%,"4,985"
신영증권스팩1호,2010/07/02,"1,000","1,065",6.5%,"1,005"
웅진에너지(유가),2010/06/30,"9,500","12,000",26.32%,"13,800"
유비벨록스,2010/06/18,"11,000","12,250",11.36%,"12,800"
처음앤씨,2010/06/18,"13,000","12,100",-6.92%,"13,900"
케이엔디티앤아이,2010/06/15,"8,500","11,000",29.41%,"9,350"
히든챔피언제1호스팩,2010/06/11,"2,000","1,960",-2%,"1,900"
이연제약(유가),2010/06/10,"16,500","16,500",0%,"14,050"
솔라시아,2010/06/09,"5,000","9,500",90%,"8,080"
실리콘웍스,2010/06/08,"67,000","66,900",-0.15%,"70,900"
투비소프트,2010/06/01,"8,000","16,000",100%,"18,400"
인피니트헬스케어(구.인피니트테,2010/05/26,"5,200","5,940",14.23%,"5,050"
신한제1호스팩,2010/05/25,"5,000","4,500",-10%,"4,450"
모바일리더,2010/05/25,"15,000","21,000",40%,"18,900"
만도(유가),2010/05/19,"83,000","97,000",16.87%,"111,500"
삼성생명(유가),2010/05/12,"110,000","119,500",8.64%,"114,000"
우리스팩1호(유가),2010/05/11,"10,000","10,500",5%,"10,050"
동아체육용품유한공사,2010/04/23,"5,000","4,500",-10%,"3,825"
뉴프라이드,2010/04/21,"7,500","15,000",100%,"12,750"
케이씨에스,2010/04/14,"1,600","3,200",100%,"3,680"
차이나킹하이웨이,2010/03/31,"3,700","4,100",10.81%,"3,485"
디지탈아리아,2010/03/26,"11,000","22,000",100%,"25,300"
동양밸류오션SPAC(유가),2010/03/25,"10,000","15,000",50%,"12,750"
현대드림투게더,2010/03/19,"6,000","6,800",13.33%,"7,820"
대한생명보험(유가),2010/03/17,"8,200","8,700",6.1%,"8,850"
미래에셋스팩1호,2010/03/12,"1,500","1,540",2.67%,"1,770"
대우증권그린코리아SPAC(유가),2010/03/03,"3,500","3,705",5.86%,"3,550"
이미지스테크놀로지,2010/02/26,"6,000","6,000",0%,"6,900"
하이소닉,2010/02/09,"13,000","14,200",9.23%,"12,500"
인포바인,2010/02/09,"33,000","36,000",9.09%,"30,600"
차이나하오란리사이클링,2010/02/05,"4,700","4,350",-7.45%,"5,000"
에스이티아이,2010/02/04,"17,500","15,750",-10%,"15,450"
모베이스,2010/02/04,"13,200","17,000",28.79%,"14,900"
에이치디시에스,2010/02/02,"15,000","18,500",23.33%,"15,750"
지역난방공사(유가),2010/01/29,"45,000","90,000",100%,"76,500"
락앤락(유가),2010/01/28,"15,700","20,000",27.39%,"23,000"
우리넷,2010/01/27,"6,700","9,900",47.76%,"9,300"
스타플렉스,2010/01/27,"15,000","15,700",4.67%,"13,350"
아세아텍,2010/01/26,"4,100","3,985",-2.8%,"3,400"
영흥철강(유가),2010/01/25,"12,000","12,400",3.33%,"13,700"
우노앤컴퍼니,2010/01/15,"6,500","5,850",-10%,"6,720"
승화엘엠씨,2010/01/06,"6,700","8,800",31.34%,"7,480"
코디에스,2010/01/05,"6,000","9,300",55%,"7,910"
글로벌에스엠테크리미티드,2009/12/23,"3,200","3,710",15.94%,"3,650"
KPX라이프사이언스,2009/12/22,"6,200","7,600",22.58%,"6,460"
동양피엔에프,2009/12/22,"12,000","17,000",41.67%,"14,450"
아이티엑스시큐리티,2009/12/22,"6,000","7,400",23.33%,"8,510"
위메이드엔터테인먼트,2009/12/18,"62,000","57,000",-8.06%,"50,700"
멜파스,2009/12/18,"43,200","45,000",4.17%,"51,700"
현대푸드시스템(유가),2009/12/17,"11,600","18,000",55.17%,"16,800"
한전기술(유가),2009/12/14,"21,600","27,000",25%,"31,050"
디오텍,2009/12/10,"9,000","11,000",22.22%,"12,650"
중국엔진집단유한공사,2009/12/04,"6,000","8,500",41.67%,"7,230"
이원컴포텍,2009/12/01,"2,000","4,000",100%,"4,600"
강원비앤이,2009/11/20,"4,700","5,000",6.38%,"5,750"
GKL(유가),2009/11/19,"12,000","15,000",25%,"15,850"
이너스텍,2009/11/13,"10,000","11,500",15%,"13,200"
에스케이씨앤씨(유가),2009/11/11,"30,000","32,250",7.5%,"35,650"
동방선기,2009/11/10,"4,000","4,055",1.38%,"3,450"
디엠씨,2009/11/06,"6,300","5,670",-10%,"4,855"
진매트릭스,2009/11/06,"8,000","8,100",1.25%,"9,000"
비츠로셀,2009/10/28,"5,500","5,870",6.73%,"5,040"
스틸플라워,2009/10/27,"13,500","14,050",4.07%,"13,150"
진로(유가),2009/10/19,"41,000","40,100",-2.2%,"42,450"
한스바이오메드,2009/10/09,"5,500","7,150",30%,"6,310"
동양생명(유가),2009/10/08,"17,000","15,700",-7.65%,"14,150"
네오위즈벅스,2009/10/06,"9,000","8,100",-10%,"9,310"
아이앤씨테크놀로지,2009/10/06,"16,000","16,000",0%,"13,650"
케이엔더블유,2009/09/29,"11,000","16,000",45.45%,"13,600"
쌍용머티리얼(유가),2009/09/29,"17,500","15,750",-10%,"13,600"
에리트베이직(유가),2009/09/28,"4,000","5,490",37.25%,"4,670"
모린스,2009/09/25,"39,000","36,100",-7.44%,"31,300"
디에스케이,2009/09/23,"5,000","10,000",100%,"11,500"
톱텍,2009/09/15,"10,400","13,350",28.37%,"15,350"
제넥신,2009/09/15,"27,000","30,500",12.96%,"27,100"
동국S&C,2009/08/31,"11,000","9,900",-10%,"9,910"
에스앤더블류,2009/08/05,"6,700","10,000",49.25%,"8,500"
게임빌,2009/07/30,"15,000","19,800",32%,"16,850"
동일금속,2009/07/28,"8,000","10,000",25%,"11,500"
대우캐피탈(유가),2009/06/25,"8,000","7,900",-1.25%,"7,000"
한미파슨스건축사사무소(유가),2009/06/23,"14,500","19,150",32.07%,"22,000"
동아지질(유가),2009/06/12,"14,500","16,000",10.34%,"18,400"
어보브반도체,2009/06/05,"3,300","5,200",57.58%,"5,980"
